gene1,gene2,lrt
ENSMUSG00000009378,ENSMUSG00000089952,40.632299648537014
ENSMUSG00000024766,ENSMUSG00000089952,74.24782008981799
ENSMUSG00000040565,ENSMUSG00000089952,51.15920323359899
ENSMUSG00000041731,ENSMUSG00000089952,42.27549834195099
ENSMUSG00000044026,ENSMUSG00000089952,66.83038630249894
ENSMUSG00000046138,ENSMUSG00000089952,0.8125558271170803
ENSMUSG00000046324,ENSMUSG00000089952,10.059560256898976
ENSMUSG00000047298,ENSMUSG00000089952,15.677803353887043
ENSMUSG00000048120,ENSMUSG00000089952,47.01840120042198
ENSMUSG00000048612,ENSMUSG00000089952,73.13338357264297
ENSMUSG00000049670,ENSMUSG00000089952,40.62704920963199
ENSMUSG00000050370,ENSMUSG00000089952,9.195471467990046
ENSMUSG00000024771,ENSMUSG00000089952,9.522285941591008
ENSMUSG00000050957,ENSMUSG00000089952,7.080734752719991
ENSMUSG00000052085,ENSMUSG00000089952,65.54108636169406
ENSMUSG00000052595,ENSMUSG00000089952,11.49338049870596
ENSMUSG00000054178,ENSMUSG00000089952,46.94970670441603
ENSMUSG00000054237,ENSMUSG00000089952,43.99495174382105
ENSMUSG00000055044,ENSMUSG00000089952,32.37531088620608
ENSMUSG00000056078,ENSMUSG00000089952,70.37857660027908
ENSMUSG00000059363,ENSMUSG00000089952,21.32128787760098
ENSMUSG00000061132,ENSMUSG00000089952,86.73764530989399
ENSMUSG00000064202,ENSMUSG00000089952,1.798175231141954
ENSMUSG00000024774,ENSMUSG00000089952,37.089553698372924
ENSMUSG00000067242,ENSMUSG00000089952,54.34862073105705
ENSMUSG00000067279,ENSMUSG00000089952,64.62570012476306
ENSMUSG00000071573,ENSMUSG00000089952,31.504669398835972
ENSMUSG00000074896,ENSMUSG00000089952,21.605668821708036
ENSMUSG00000074922,ENSMUSG00000089952,23.023850085552
ENSMUSG00000079339,ENSMUSG00000089952,27.262428936705078
ENSMUSG00000079344,ENSMUSG00000089952,64.39074136926592
ENSMUSG00000085003,ENSMUSG00000089952,35.26855180506095
ENSMUSG00000086812,ENSMUSG00000089952,37.699338587403986
ENSMUSG00000087112,ENSMUSG00000089952,74.346453426989
ENSMUSG00000024776,ENSMUSG00000089952,8.859757317071058
ENSMUSG00000087303,ENSMUSG00000089952,74.49130117833101
ENSMUSG00000087579,ENSMUSG00000089952,41.37136524394896
ENSMUSG00000090369,ENSMUSG00000089952,23.10136502793705
ENSMUSG00000090673,ENSMUSG00000089952,21.63303764141108
ENSMUSG00000094707,ENSMUSG00000089952,72.280744455339
ENSMUSG00000097558,ENSMUSG00000089952,17.003061896127974
ENSMUSG00000097787,ENSMUSG00000089952,31.791172617566986
ENSMUSG00000097792,ENSMUSG00000089952,72.908995223592
ENSMUSG00000097930,ENSMUSG00000089952,55.89407072050801
ENSMUSG00000024778,ENSMUSG00000089952,38.69263445481704
ENSMUSG00000024780,ENSMUSG00000089952,2.3251263199480263
ENSMUSG00000012443,ENSMUSG00000089952,21.701865035693004
ENSMUSG00000024781,ENSMUSG00000089952,18.767787300042983
ENSMUSG00000024782,ENSMUSG00000089952,2.9023179856790193
ENSMUSG00000024805,ENSMUSG00000089952,54.967178302565
ENSMUSG00000024817,ENSMUSG00000089952,13.286346025155922
ENSMUSG00000024827,ENSMUSG00000089952,12.865190101136022
ENSMUSG00000024863,ENSMUSG00000089952,14.025567127631007
ENSMUSG00000024867,ENSMUSG00000089952,35.82659864782795
ENSMUSG00000024878,ENSMUSG00000089952,41.13637915866093
ENSMUSG00000024887,ENSMUSG00000089952,60.39904299270995
ENSMUSG00000024921,ENSMUSG00000089952,28.33392015342804
ENSMUSG00000013663,ENSMUSG00000089952,54.39113901081794
ENSMUSG00000024935,ENSMUSG00000089952,0.35816768434904134
ENSMUSG00000024987,ENSMUSG00000089952,18.793018239938988
ENSMUSG00000024992,ENSMUSG00000089952,14.99937058506896
ENSMUSG00000024998,ENSMUSG00000089952,26.973503622793032
ENSMUSG00000024999,ENSMUSG00000089952,33.49752077890196
ENSMUSG00000025006,ENSMUSG00000089952,79.491631202853
ENSMUSG00000025008,ENSMUSG00000089952,84.557790518361
ENSMUSG00000025010,ENSMUSG00000089952,19.409972260132008
ENSMUSG00000025020,ENSMUSG00000089952,32.202443521601026
ENSMUSG00000025159,ENSMUSG00000089952,62.24929041507801
ENSMUSG00000016495,ENSMUSG00000089952,4.371912640776031
ENSMUSG00000025171,ENSMUSG00000089952,21.247715169720095
ENSMUSG00000025176,ENSMUSG00000089952,71.03074063033796
ENSMUSG00000033207,ENSMUSG00000089952,24.332687000074998
ENSMUSG00000033610,ENSMUSG00000089952,13.682453908282923
ENSMUSG00000033863,ENSMUSG00000089952,14.33619450595404
ENSMUSG00000034321,ENSMUSG00000089952,44.310507095415005
ENSMUSG00000035049,ENSMUSG00000089952,31.591765546977967
ENSMUSG00000038658,ENSMUSG00000089952,16.698368543188053
ENSMUSG00000040105,ENSMUSG00000089952,5.413765343634964
ENSMUSG00000040451,ENSMUSG00000089952,38.49213540098299
